date,ICE,Bitcoin,isPartial
2019-09-13,79,25,False
2019-09-14,100,26,False
2019-09-15,95,23,False
2019-09-16,75,25,False
2019-09-17,79,28,False
2019-09-18,77,24,False
2019-09-19,75,26,False
2019-09-20,83,26,False
2019-09-21,95,24,False
2019-09-22,92,21,False
2019-09-23,77,28,False
2019-09-24,74,35,False
2019-09-25,75,40,False
2019-09-26,81,39,False
2019-09-27,81,38,False
2019-09-28,83,28,False
2019-09-29,89,25,False
2019-09-30,79,31,False
2019-10-01,73,29,False
2019-10-02,73,29,False
2019-10-03,79,27,False
