date,Fidelity,Bitcoin,isPartial
2019-11-09,20,62,False
2019-11-10,16,63,False
2019-11-11,27,71,False
2019-11-12,34,64,False
2019-11-13,33,65,False
2019-11-14,31,61,False
2019-11-15,36,62,False
2019-11-16,25,64,False
2019-11-17,17,59,False
2019-11-18,34,66,False
2019-11-19,35,71,False
2019-11-20,34,69,False
2019-11-21,34,82,False
2019-11-22,33,99,False
2019-11-23,20,75,False
2019-11-24,14,73,False
2019-11-25,32,100,False
2019-11-26,36,85,False
2019-11-27,32,76,False
2019-11-28,17,74,False
2019-11-29,20,67,False
