date,Russia,Bitcoin,isPartial
2019-12-16,39,53,False
2019-12-17,41,66,False
2019-12-18,40,67,False
2019-12-19,44,63,False
2019-12-20,41,61,False
2019-12-21,37,50,False
2019-12-22,38,48,False
2019-12-23,39,59,False
2019-12-24,41,53,False
2019-12-25,47,50,False
2019-12-26,42,53,False
2019-12-27,39,52,False
2019-12-28,50,50,False
2019-12-29,48,48,False
2019-12-30,41,50,False
2019-12-31,43,51,False
2020-01-01,41,49,False
2020-01-02,37,56,False
2020-01-03,63,62,False
2020-01-04,65,54,False
2020-01-05,100,55,False
