date,Bank of England,Bitcoin,isPartial
2020-03-02,0,29,False
2020-03-03,1,28,False
2020-03-04,1,29,False
2020-03-05,1,29,False
2020-03-06,1,29,False
2020-03-07,0,25,False
2020-03-08,0,29,False
2020-03-09,1,49,False
2020-03-10,1,39,False
2020-03-11,3,34,False
2020-03-12,1,69,False
2020-03-13,1,100,False
2020-03-14,0,62,False
2020-03-15,1,55,False
2020-03-16,1,65,False
2020-03-17,1,52,False
2020-03-18,1,54,False
2020-03-19,3,56,False
2020-03-20,1,61,False
2020-03-21,1,51,False
2020-03-22,0,44,False
