date,UK,Bitcoin,isPartial
2021-04-09,90,19,False
2021-04-10,90,22,False
2021-04-11,91,21,False
2021-04-12,93,22,False
2021-04-13,84,30,False
2021-04-14,88,35,False
2021-04-15,84,29,False
2021-04-16,80,30,False
2021-04-17,85,25,False
2021-04-18,82,42,False
2021-04-19,80,36,False
2021-04-20,87,29,False
2021-04-21,88,26,False
2021-04-22,81,29,False
2021-04-23,81,47,False
2021-04-24,78,33,False
2021-04-25,100,30,False
2021-04-26,91,31,False
2021-04-27,91,29,False
2021-04-28,89,24,False
2021-04-29,81,22,False
