date,Salvador,Bitcoin,isPartial
2021-08-28,27,52,False
2021-08-29,25,54,False
2021-08-30,28,50,False
2021-08-31,28,52,False
2021-09-01,30,51,False
2021-09-02,31,54,False
2021-09-03,54,56,False
2021-09-04,26,47,False
2021-09-05,45,53,False
2021-09-06,48,63,False
2021-09-07,36,100,False
2021-09-08,46,93,False
2021-09-09,43,66,False
2021-09-10,29,61,False
2021-09-11,29,53,False
2021-09-12,24,55,False
2021-09-13,28,55,False
2021-09-14,28,53,False
2021-09-15,31,55,False
2021-09-16,32,53,False
2021-09-17,28,53,False
