date,EU,Bitcoin,isPartial
2022-06-21,74,100,False
2022-06-22,79,89,False
2022-06-23,76,79,False
2022-06-24,68,69,False
2022-06-25,70,63,False
2022-06-26,76,58,False
2022-06-27,71,67,False
2022-06-28,71,64,False
2022-06-29,71,67,False
2022-06-30,71,80,False
2022-07-01,70,73,False
2022-07-02,68,63,False
2022-07-03,71,60,False
2022-07-04,71,65,False
2022-07-05,73,69,False
2022-07-06,73,61,False
2022-07-07,72,63,False
2022-07-08,70,64,False
2022-07-09,72,50,False
2022-07-10,73,52,False
2022-07-11,67,56,False
