date,SEC,Bitcoin,isPartial
2022-11-21,32,100,False
2022-11-22,30,97,False
2022-11-23,30,79,False
2022-11-24,29,79,False
2022-11-25,32,77,False
2022-11-26,37,64,False
2022-11-27,44,62,False
2022-11-28,34,81,False
2022-11-29,35,76,False
2022-11-30,35,77,False
2022-12-01,34,71,False
2022-12-02,35,66,False
2022-12-03,58,61,False
2022-12-04,42,58,False
2022-12-05,29,63,False
2022-12-06,31,64,False
2022-12-07,33,67,False
2022-12-08,31,71,False
2022-12-09,31,61,False
2022-12-10,28,54,False
2022-12-11,27,58,False
