date,Japan,Bitcoin,isPartial
2017-09-19,74,49,False
2017-09-20,93,40,False
2017-09-21,98,41,False
2017-09-22,85,40,False
2017-09-23,84,30,False
2017-09-24,88,30,False
2017-09-25,78,36,False
2017-09-26,76,34,False
2017-09-27,75,34,False
2017-09-28,76,37,False
2017-09-29,71,34,False
2017-09-30,78,32,False
2017-10-01,80,32,False
2017-10-02,74,35,False
2017-10-03,79,35,False
2017-10-04,77,33,False
2017-10-05,77,32,False
2017-10-06,84,33,False
2017-10-07,93,28,False
2017-10-08,100,34,False
2017-10-09,76,42,False
