date,South Korea,Bitcoin,isPartial
2023-09-08,16,96,False
2023-09-09,15,83,False
2023-09-10,15,79,False
2023-09-11,14,96,False
2023-09-12,22,95,False
2023-09-13,15,89,False
2023-09-14,14,88,False
2023-09-15,13,88,False
2023-09-16,14,90,False
2023-09-17,14,77,False
2023-09-18,14,100,False
2023-09-19,13,87,False
2023-09-20,14,89,False
2023-09-21,14,99,False
2023-09-22,13,86,False
2023-09-23,13,78,False
2023-09-24,13,73,False
2023-09-25,14,87,False
2023-09-26,13,84,False
2023-09-27,13,86,False
2023-09-28,13,85,False
