date,India,Bitcoin,isPartial
2018-03-26,79,13,False
2018-03-27,84,12,False
2018-03-28,81,11,False
2018-03-29,84,14,False
2018-03-30,84,17,False
2018-03-31,79,11,False
2018-04-01,88,12,False
2018-04-02,87,13,False
2018-04-03,82,13,False
2018-04-04,80,12,False
2018-04-05,76,12,False
2018-04-06,81,13,False
2018-04-07,85,11,False
2018-04-08,85,9,False
2018-04-09,100,11,False
2018-04-10,80,10,False
2018-04-11,81,10,False
2018-04-12,87,12,False
2018-04-13,81,12,False
2018-04-14,95,10,False
2018-04-15,76,9,False
