Date,Events
18.03.13, U.S. Treasury and FinCEN issue guidelines on virtual currency compliance.
19.03.13, Winklevoss twins file for a Bitcoin ETF with the SEC.
20.03.13, U.S. Senate holds hearings on Bitcoin.
21.03.13, IRS issues guidelines on cryptocurrency taxation.
22.03.13, New York introduces BitLicense.
23.03.13, SEC denies Winklevoss' ETF request.
24.03.13, Japan recognizes Bitcoin as a currency.
25.03.13, Japan’s Financial Services Agency (FSA) starts recognizing registered cryptocurrency exchanges.
26.03.13,CBOE get approval for Bitcoin futures.
27.03.13, SEC's Jay Clayton states Bitcoin isn't a financial security.
28.03.13, CME get approval for Bitcoin futures.
29.03.13," Germany’s financial regulator, BaFin, provides guidance on ICOs."
30.03.13, India's Reserve Bank prohibits banks from serving crypto businesses.
31.03.13, SEC publishes framework for ICOs.
01.04.13, IRS and FinCEN release cryptocurrency guidelines.
02.04.13,CFTC approves Ledger X
03.04.13, SEC considers running Bitcoin nodes
04.04.13," ICE launches physically-backed Bitcoin futures platform, Bakkt."
05.04.13, SEC denies Bitwise's Bitcoin ETF proposal.
06.04.13, Fidelity licensed for Bitcoin in New York
07.04.13,U.S. Federal Reserve explores digital dollar.
08.04.13, SEC sues Kik
09.04.13, Russia tests stablecoins.
10.04.13, EU's 5AMLD brings crypto exchanges under AML legislation.
11.04.13, The Bank of England releases a discussion paper on Central Bank Digital Currency.
12.04.13, EU's 6AMLD is implemented.
13.04.13, The European Central Bank (ECB) accelerates work on a digital euro.
14.04.13, UK explores digital currency
15.04.13,U.S. Federal Reserve issues fintech guidelines.
16.04.13,El Salvador adopts Bitcoin.
17.04.13,Ukraine parliament recognizes crypto
18.04.13, China bans crypto transactions
19.04.13, EU considers stricter crypto regulations.
20.04.13, Gary Gensler requests increased crypto regulation.
21.04.13, U.S. Senate Banking Committee discusses digital dollar.
22.04.13, South Korea emphasizes OTC regulations after illegal deals.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
