Category: All categories

Month,Bitcoin: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,<1
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,<1
2005-03,<1
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,<1
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,<1
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,<1
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,<1
2008-07,0
2008-08,0
2008-09,0
2008-10,<1
2008-11,0
2008-12,0
2009-01,<1
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,<1
2009-12,<1
2010-01,0
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,1
2012-09,1
2012-10,<1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,10
2013-12,12
2014-01,8
2014-02,9
2014-03,6
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,3
2015-11,4
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,4
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,20
2017-09,22
2017-10,22
2017-11,45
2017-12,100
2018-01,56
2018-02,41
2018-03,23
2018-04,19
2018-05,15
2018-06,13
2018-07,13
2018-08,12
2018-09,12
2018-10,9
2018-11,14
2018-12,13
2019-01,10
2019-02,10
2019-03,8
2019-04,12
2019-05,17
2019-06,20
2019-07,18
2019-08,15
2019-09,12
2019-10,12
2019-11,12
2019-12,10
2020-01,12
2020-02,14
2020-03,19
2020-04,16
2020-05,20
2020-06,14
2020-07,14
2020-08,15
2020-09,13
2020-10,14
2020-11,24
2020-12,31
2021-01,63
2021-02,66
2021-03,46
2021-04,54
2021-05,63
2021-06,45
2021-07,31
2021-08,32
2021-09,31
2021-10,37
2021-11,35
2021-12,34
2022-01,42
2022-02,33
2022-03,30
2022-04,22
2022-05,36
2022-06,41
2022-07,30
2022-08,22
2022-09,21
2022-10,17
2022-11,25
2022-12,18
2023-01,20
2023-02,19
2023-03,23
2023-04,21
2023-05,17
2023-06,19
2023-07,17
2023-08,18
2023-09,16
2023-10,16
